conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1798162014680031291,Wed Jun 05 01:16:47 +0000 2024,2,Kompensasi apa nih yg bisa diberikan sama @pln_123 buat masyarakat sumatera yg kena dampak mati listrik &gt;19jam ini?,1798162014680031291,,,in,,1,1,1,https://x.com/kkakyoong/status/1798162014680031291,1073019069194854400,kkakyoong
1798317998530576740,Wed Jun 05 11:36:36 +0000 2024,31, TOLONG TOLONG PANAS BANGET WOIII LISTRIK MATI PDAM PUN MATI TOLONG INI GAK ADA SOLUSI NYA KAH WOII UDH DARI KEMARIN LISTRIK GAK JELASSSS konteks : pemadaman listrik di Sumatera,1798317998530576740,,,in,Indonesia,0,18,1,https://x.com/tanyarlfes/status/1798317998530576740,1371650588,tanyarlfes
1798157151573364966,Wed Jun 05 00:57:27 +0000 2024,3,Sejumlah Wilayah di Sumatera Utara Mati Listrik hingga Berjam-jam #infosumut #listrik https://t.co/B5wDSLxvYJ,1798157151573364966,,,in,Jakarta,0,0,2,https://x.com/Kilat_com/status/1798157151573364966,174631261,Kilat_com
1798376941730578789,Thu Jun 06 23:15:22 +0000 2024,2,@aditthamdalah @cingreborn APAAN ALASANNYA NJING. Tau sendiri lah sumatera . PLN ini satu2 nya penyedia layanan listrik dari kapan? Kok primitif bgt kek ga punya sistem engineer. Hrs nya ada dong sistem yg mendeteksi dimana lokasi yg bermasalah. Masa ditelusurin satu2. Aneh,1798856235858723298,,aditthamdalah,in,,0,1,0,https://x.com/clouudyy26/status/1798856235858723298,1619867715090681856,clouudyy26
1798508512391409751,Thu Jun 06 00:13:38 +0000 2024,32,pada bahas akun youtube total politik. bodo amat woi listrik di sumatera mati ini.,1798508512391409751,,,in,"Kota Bengkulu, Indonesia",1,1,7,https://x.com/direktoridosen/status/1798508512391409751,1901591046,direktoridosen
1798120882218709265,Tue Jun 04 22:33:20 +0000 2024,13,@pln_123 kompensasi dong buat daerah sumatera yg kena dampak. situ telat satu jam pembayaran dari jatuh tempo aja biayanya udah bengkak ga masuk akal. giliran gini pada tutup mata. jangan mau nyubit aja. mentang2 satu-satunya penyalur listrik dan ga punya saingan. egois.,1798120882218709265,,pln_123,in,,1,4,2,https://x.com/gimrl/status/1798120882218709265,421467588,gimrl
1798312073522450611,Wed Jun 05 11:13:04 +0000 2024,3,Di beberapa daerah di pulau sumatera lagi mati listrik? Harga listrik makin kesini makin mahal? Trus sok nge-ide apa-apa pakai listrik lah (e.g kendaraan listrik) Muncul pertanyaan besar : Siap ga sih? Gblk !!!,1798312073522450611,,,in,,0,1,1,https://x.com/alfarisiee/status/1798312073522450611,101427338,alfarisiee
1798396335923876294,Wed Jun 05 16:47:53 +0000 2024,4,udah ada berita tentang dewa peelen mngundurkam diri belum? udah lebih dari 30 jam listrik nggak hidup di sebagian sumatera bagian selatan?,1798396335923876294,,,in,,1,3,0,https://x.com/melonkatanya/status/1798396335923876294,1353115004585668609,melonkatanya
1798627293621113164,Thu Jun 06 08:05:38 +0000 2024,2,Listrik Sumatera Kembali Pulih 100% Ternyata Ini Penyebab Utama Pemadaman Listrik https://t.co/YEyCZyNv4p,1798627293621113164,,,in,Pemalang,0,0,0,https://x.com/panturarayacom/status/1798627293621113164,1780799797227880448,panturarayacom
1798019556038115762,Tue Jun 04 15:50:42 +0000 2024,5,Mati lampunya belum usai. Udah 12 jam. Barusan dpt info yg td udah nyala malah mati lagi. Dan di IG dibilang yg gangguan listrik sampe Palembang Medan Aceh Bangka. Nyaris se Sumatera gangguan semua.. Ngeri juga klu berlarut larut.. Semoga cepet teratasi,1798019556038115762,,,in,"Lampung, Indonesia",0,3,0,https://x.com/PanduMele/status/1798019556038115762,773309322931515392,PanduMele
